UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
ScA-IL18,"Schock, Aaron",aaronschock,03/01/09,2009,,
FiA-IA01,"Finkenauer, Abby",Abby4Iowa,03/01/15,2015,,
PuA-FL12,"Putnam, Adam H.",adamputnam,06/01/09,2009,,
LaJ-LA03,"Landry, Jeffrey M.",AGJeffLandry,11/01/10,2010,,
GrT-AR02,"Griffin, Tim",AGTimGriffin,10/01/10,2010,,
GrA-FL09,"Grayson, Alan",AlanGrayson,05/01/09,2009,,
NuA-MS01,"Nunnelee, Alan",AlanNunnelee,04/01/09,2009,,
SiA-NJ08,"Sires, Albio",AlbioSiresNJ,04/01/12,2012,,
HaA-FL20,"Hastings, Alcee L.",AlceeHastingsFL,11/01/13,2013,,
LaA-FL05,"Lawson, Al, Jr.",AlLawsonJr,11/01/09,2009,,
WeA-FL22,"West, Allen B.",AllenWest,01/01/11,2011,,
ScA-PA13,"Schwartz, Allyson Y.",allysonschwartz,04/01/13,2013,,
CrA-FL04,"Crenshaw, Ander",AnderCrenshaw,02/01/09,2009,,
BuA-NY25,"Buerkle, Ann Marie",annmbuerkle,11/01/10,2010,,
DaA-AL07,"Davis, Artur",ArturDavis,01/01/09,2009,,
MiG-CA11,"Miller, George",askgeorge,07/01/07,2007,,
LoB-MO07,"Long, Billy",auctnr1,02/01/09,2009,,
CoM-CO06,"Coffman, Mike",AuroraMayorMike,07/01/19,2019,,
ScA-GA08,"Scott, Austin",AustinScottGA08,01/01/11,2011,,
AxC-IA03,"Axne, Cynthia",Axne4Congress,05/01/17,2017,,
BaS-AL06,"Bachus, Spencer",BachusAL06,09/01/09,2009,,
CoB-VA10,"Comstock, Barbara",BarbaraComstock,05/01/09,2009,,
FrB-MA04,"Frank, Barney",BarneyFrank,07/01/13,2013,,
HiB-IN09,"Hill, Baron P.",BaronHill2016,02/01/10,2010,,
McB-UT04,"McAdams, Ben",BenMcAdams,06/01/09,2009,,
ThB-MS02,"Thompson, Bennie G.",BennieGThompson,01/01/09,2009,,
BeS-NV01,"Berkley, Shelley",Berkley4Senate,04/01/11,2011,,
O'B-TX16,"O'Rourke, Beto",BetoORourke,07/01/11,2011,,
MaB-CO04,"Markey, Betsy",BetsyMarkey,06/01/09,2009,,
McB-MN04,"McCollum, Betty",BettyMcCollum04,01/01/12,2012,,
SuB-OH13,"Sutton, Betty",BettySutton,04/01/10,2010,,
BiB-CA50,"Bilbray, Brian P.",BilbrayCA50,07/01/09,2009,,
CaB-LA06,"Cassidy, Bill",BillCassidy,07/01/09,2009,,
OwW-NY21,"Owens, William L.",BillOwensNY,12/01/10,2010,,
PaB-NJ09,"Pascrell, Bill, Jr.",BillPascrell,01/01/09,2009,,
BrR-PA01,"Brady, Robert A.",BobBradyPHL,05/01/10,2010,,
JiB-LA01,"Jindal, Bobby",BobbyJindal,10/01/08,2008,,
RuB-IL01,"Rush, Bobby L.",BobbyLRush,05/01/11,2011,,
ScR-VA03,"Scott, Robert C. ""Bobby""",BobbyScott,01/01/10,2010,,
FiB-CA51,"Filner, Bob",bobfilner,09/01/09,2009,,
