UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
RoM-MI08,"Rogers, Mike J.",RepMikeRogers,6/1/2010,2010,,
RoM-AL03,"Rogers, Mike D.",repmikerogersal,4/1/2009,2009,,
MiC-FL07,"Mills, Cory",RepMillsPress,,1900,,
MiM-IA01,"Miller-Meeks, Mariannette",RepMMM,,1900,,
MoM-NY19,"Molinaro, Marcus J.",RepMolinaroNY19,,1900,,
DeM-TX15,"De La Cruz, Monica",RepMonicaDLC,,1900,,
MoJ-MI02,"Moolenaar, John R.",RepMoolenaar,7/1/2014,2014,,
MoJ-FL23,"Moskowitz, Jared",RepMoskowitz,,1900,,
MrF-IN01,"Mrvan, Frank J.",RepMrvan,1/1/2021,2021,,
GrM-GA14,"Greene, Marjorie Taylor",RepMTG,12/1/2020,2020,,
MuK-CA15,"Mullin, Kevin",RepMullin,,1900,,
MaN-SC01,"Mace, Nancy",RepNancyMace,,1900,,
MoN-TX01,"Moran, Nathaniel",RepNateMoran,,1900,,
NeD-WA04,"Newhouse, Dan",RepNewhouse,,1900,,
RaN-WV03,"Rahall, Nick J., II",RepNickRahall,2/1/2014,2014,,
WiN-GA05,"Williams, Nikema",RepNikema,,1900,,
BuN-IL13,"Budzinski, Nikki",RepNikkiB,,1900,,
OgA-TN05,"Ogles, Andrew",RepOgles,,1900,,
FaP-TX04,"Fallon, Pat",RepPatFallon,,1900,,
RyP-NY18,"Ryan, Patrick",RepPatRyanNY,,1900,,
ToP-NY20,"Tonko, Paul",RepPaulTonko,,1900,,
PeE-CO07,"Perlmutter, Ed",RepPerlmutter,2/1/2009,2009,,
AgP-CA33,"Aguilar, Pete",RepPeteAguilar,,1900,,
OlP-TX22,"Olson, Pete",RepPeteOlson,2/1/2009,2009,,
StP-MN08,"Stauber, Pete",RepPeteStauber,,1900,,
PeB-CO07,"Pettersen, Brittany",RepPettersen,,1900,,
PfA-TX11,"Pfluger, August",RepPfluger,,1900,,
PiR-NC09,"Pittenger, Robert",RepPittenger,11/1/2012,2012,,
PrA-MA07,"Pressley, Ayanna",RepPressley,,1900,,
NoR-SC05,"Norman, Ralph",RepRalphNorman,,1900,,
TlR-MI12,"Tlaib, Rashida",RepRashida,,1900,,
RaJ-MD08,"Raskin, Jamie",RepRaskin,,1900,,
GrR-AZ07,"Grijalva, Raúl M.",RepRaulGrijalva,4/1/2009,2009,,
RuR-CA25,"Ruiz, Raul",RepRaulRuizMD,,1900,,
ElR-NC02,"Ellmers, Renee L.",RepReneeEllmers,11/1/2010,2010,,
RiR-WI08,"Ribble, Reid J.",RepRibble,1/1/2011,2011,,
NeR-MA01,"Neal, Richard E.",RepRichardNeal,12/1/2011,2011,,
HuR-NC09,"Hudson, Richard",RepRichHudson,,1900,,
RiC-LA02,"Richmond, Cedric L.",RepRichmond,3/1/2011,2011,,
NuR-FL11,"Nugent, Richard B.",RepRichNugent,1/1/2011,2011,,
